adsh	grp	arc	negative	ptag	pversion	ctag	cversion
0001398344-18-018166	1	5	1	ExpensesOverAssets	rr/2012	AcquiredFundFeesAndExpensesOverAssets	rr/2012
0001413042-18-000290	1	5	1	ExpensesOverAssets	rr/2012	AcquiredFundFeesAndExpensesOverAssets	rr/2012
0001447346-18-000018	1	5	1	ExpensesOverAssets	rr/2012	AcquiredFundFeesAndExpensesOverAssets	rr/2012
0001464413-18-000281	1	6	1	ExpensesOverAssets	rr/2012	AcquiredFundFeesAndExpensesOverAssets	rr/2012
0001398344-18-016608	1	5	1	ExpensesOverAssets	rr/2012	AcquiredFundFeesAndExpensesOverAssets	rr/2012
0001398344-18-016772	1	8	1	ExpensesOverAssets	rr/2012	AcquiredFundFeesAndExpensesOverAssets	rr/2012
0001398344-18-017471	1	5	1	ExpensesOverAssets	rr/2012	AcquiredFundFeesAndExpensesOverAssets	rr/2012
0001398344-18-017565	1	7	1	ExpensesOverAssets	rr/2012	AcquiredFundFeesAndExpensesOverAssets	rr/2012
0001398344-18-017606	1	8	1	ExpensesOverAssets	rr/2012	AcquiredFundFeesAndExpensesOverAssets	rr/2012
0001398344-18-017693	1	5	1	ExpensesOverAssets	rr/2012	AcquiredFundFeesAndExpensesOverAssets	rr/2012
0001398344-18-015985	1	5	1	ExpensesOverAssets	rr/2012	AcquiredFundFeesAndExpensesOverAssets	rr/2012
0001398344-18-016014	1	5	1	ExpensesOverAssets	rr/2012	AcquiredFundFeesAndExpensesOverAssets	rr/2012
0001398344-18-016058	1	5	1	ExpensesOverAssets	rr/2012	AcquiredFundFeesAndExpensesOverAssets	rr/2012
0001398344-18-016088	1	7	1	ExpensesOverAssets	rr/2012	AcquiredFundFeesAndExpensesOverAssets	rr/2012
0001398344-18-016277	1	5	1	ExpensesOverAssets	rr/2012	AcquiredFundFeesAndExpensesOverAssets	rr/2012
0001398344-18-016298	1	5	1	ExpensesOverAssets	rr/2012	AcquiredFundFeesAndExpensesOverAssets	rr/2012
0001398344-18-014788	1	5	1	ExpensesOverAssets	rr/2012	AcquiredFundFeesAndExpensesOverAssets	rr/2012
